BGRI11,BGRI11_M1LABELS_LP_AdjMatGeoNetDist
01100301802,50.0
01100301801,50.0
01050400501,128.0
01100301207,55.0
01050400307,9.0
01050600604,111.0
01050600703,43.0
01100301014,50.0
01050600104,22.0
01051201813,45.0
01051300901,37.0
01100301608,118.0
01051300801,67.0
01100301607,118.0
01051300703,90.0
01050400214,10.0
01050500510,17.0
01100400809,54.0
01050101003,4.0
01051000511,126.0
01050100913,52.0
01100400703,52.0
01050101002,4.0
01050800208,36.0
01100400808,53.0
01100400605,131.0
01050300116,99.0
01050800401,126.0
01050300115,115.0
01100400506,53.0
01050300119,115.0
01050800207,71.0
01100400702,52.0
01100400604,131.0
01100200914,123.0
01050100912,4.0
01100400107,53.0
01100400507,54.0
01050100911,52.0
01050101001,4.0
01050100910,4.0
01050800215,71.0
01100400404,52.0
01100400807,53.0
01100400806,54.0
01100400805,54.0
01050300114,115.0
01050800305,36.0
01050800304,36.0
01050100816,4.0
01050300118,115.0
01050800206,36.0
01100200913,123.0
01050800205,36.0
01051000608,126.0
01050100815,4.0
01100400106,131.0
01050100909,4.0
01050100908,4.0
01051000607,126.0
01050100907,52.0
01100400804,53.0
01100200912,123.0
01100200911,123.0
01050800204,71.0
01051000510,126.0
01100200910,123.0
01050300117,99.0
01050800214,71.0
01050300113,114.0
01050800303,36.0
01050100906,4.0
01050100905,4.0
01050800213,71.0
01050100904,52.0
01050800115,97.0
01050800114,36.0
01050100903,52.0
01100201010,120.0
01100400505,53.0
01100400803,53.0
01100400603,131.0
01050800112,97.0
01100200907,123.0
01050100808,4.0
01100201006,120.0
01050300110,114.0
01050800302,36.0
01100201005,120.0
01051000509,126.0
01100400403,52.0
01051000604,126.0
01100400216,131.0
01100400105,131.0
01100201004,119.0
01050800211,71.0
01100200712,120.0
01100400502,53.0
01050300109,115.0
01100400701,53.0
01100201003,120.0
01050100705,4.0
01100200906,123.0
01050100807,126.0
01050200407,62.0
01050200112,8.0
01050200504,12.0
01050200703,62.0
01050200313,62.0
01050200312,62.0
01051400213,73.0
01100402215,56.0
01051400113,72.0
01100402214,56.0
01050900210,98.0
01050900209,98.0
01100402301,56.0
01100402009,76.0
01100402008,75.0
01051400203,35.0
01050900211,98.0
01100402007,75.0
01050700102,73.0
01051400212,94.0
01051400112,32.0
01051400305,72.0
01050900208,98.0
01050800708,33.0
01100402006,76.0
01100402213,56.0
01051400111,32.0
01100402212,56.0
01051400201,33.0
01100402114,75.0
01051400302,72.0
01050200306,112.0
01050400106,128.0
01050100508,5.0
01051000304,21.0
01050400710,116.0
01050100110,64.0
01050100403,64.0
01051301105,65.0
01050100507,3.0
01050100506,3.0
01050400513,116.0
01051000205,65.0
01051301206,129.0
01050100109,3.0
01100200413,81.0
01100200412,81.0
01050400105,116.0
01051000204,65.0
01100200411,81.0
01100100222,123.0
01051400304,72.0
01050900207,98.0
01051400110,32.0
01100402211,76.0
01050800707,2.0
01050900206,98.0
01051400109,32.0
01100402210,2.0
01100402113,75.0
01051400108,72.0
01100402005,76.0
01100402112,75.0
01100402209,56.0
01050700119,74.0
01051400211,72.0
01051400314,72.0
01051400301,35.0
01050800706,2.0
01100402208,56.0
01100402207,2.0
01051400104,72.0
01051400202,35.0
01050800705,33.0
01100401909,76.0
01100402004,76.0
01051400103,72.0
01050900205,98.0
01100402206,2.0
01100401017,2.0
01100100221,123.0
01100402205,56.0
01100401908,56.0
01050800704,2.0
01100402204,56.0
01050400812,117.0
01050400512,116.0
01051000112,100.0
01051301014,11.0
01051000302,21.0
01100200410,81.0
01051000301,21.0
01050100108,58.0
01100302416,81.0
01050400104,116.0
01050400805,68.0
01051000203,38.0
01100200409,81.0
01051000111,38.0
01050100107,3.0
01100302415,81.0
01100200502,81.0
01050100402,21.0
01051000202,38.0
01050100106,124.0
01050100401,21.0
01100200501,81.0
01051301013,11.0
01100200408,81.0
01051000110,100.0
01050100105,58.0
01051200304,107.0
01050501502,107.0
01051200405,107.0
01051200603,107.0
01050501702,82.0
01051200404,101.0
01051200502,101.0
01051200602,19.0
01050501110,63.0
01051200601,107.0
01051200303,107.0
01050501801,82.0
01050500905,83.0
01051200302,107.0
01050501605,63.0
01051200208,19.0
01050501109,107.0
01051400215,73.0
01051400209,72.0
01051400210,73.0
01051400313,72.0
01051400106,72.0
01051400107,32.0
01100100220,123.0
01100100219,123.0
01100100218,123.0
01051400105,32.0
01100401016,2.0
01100401015,2.0
01051400102,72.0
01050800703,33.0
01100402003,75.0
01100402203,56.0
01100402002,76.0
01100402202,56.0
01100401014,2.0
01100100217,123.0
01050700101,33.0
01100402313,56.0
01100402312,56.0
01051400208,35.0
01050800513,35.0
01051400101,70.0
01050800510,35.0
01100100216,123.0
01100401907,76.0
01100100215,123.0
01100402111,75.0
01100402119,131.0
01100402201,56.0
01050800702,33.0
01100401013,2.0
01100401712,56.0
01100100214,123.0
01100100213,123.0
01100100212,123.0
01100401906,76.0
01100401012,2.0
01100402110,75.0
01050800607,35.0
01050501603,83.0
01051200207,107.0
01051200403,101.0
01050501602,60.0
01051200501,101.0
01050200501,6.0
01050200110,6.0
01100300202,121.0
01051100219,
01051100106,
01051100209,
01050500301,15.0
01050500105,20.0
01051100208,
01051100207,
01051100206,
01050500104,20.0
01050201106,17.0
01050500212,88.0
01051100105,
01051100205,
01050201105,84.0
01050500211,15.0
01051100104,
01050500210,88.0
01050500209,15.0
01050200807,84.0
01050200404,62.0
01050200507,8.0
01050200505,112.0
01050200403,62.0
01050200310,62.0
01050200402,62.0
01050200111,8.0
01051100103,
01051100204,
01050500208,88.0
01050500103,88.0
01050201104,84.0
01050200601,62.0
01050200309,112.0
01050200503,112.0
01050200502,12.0
01050200308,112.0
01051100102,
01051100101,
01050201103,7.0
01050201009,17.0
01050500102,88.0
01051100203,
01050500207,88.0
01050200305,112.0
01051400207,35.0
01051400312,32.0
01100402311,56.0
01100402310,56.0
01100402309,75.0
01100402308,56.0
01051400206,72.0
01100402118,131.0
01100402120,123.0
01100100211,123.0
01050800701,35.0
01050800616,35.0
01100100210,123.0
01050800615,2.0
01050800606,35.0
01100402109,77.0
01100402117,131.0
01050800614,35.0
01100402108,77.0
01100401011,2.0
01100100209,123.0
01100402116,131.0
01100402107,77.0
01100100208,123.0
01050800512,95.0
01100402106,77.0
01051400117,32.0
01100402307,56.0
01051400205,35.0
01051400311,32.0
01050900216,98.0
01100402012,75.0
01051400204,35.0
01051400316,98.0
01051400303,72.0
01051400310,32.0
01050800613,2.0
01100402105,77.0
01100401711,56.0
01100402104,77.0
01050800605,35.0
01050800612,2.0
01100100207,123.0
01050800611,35.0
01100402103,77.0
01050800511,70.0
01100402102,77.0
01100401710,56.0
01050800610,35.0
01100401709,56.0
01100402101,77.0
01100401812,75.0
01050101315,2.0
01050200203,6.0
01050200904,8.0
01050200709,12.0
01050200802,7.0
01050200708,12.0
01050200903,8.0
01050200707,7.0
01050200902,8.0
01050200706,7.0
01050500110,20.0
01050200603,7.0
01050200410,62.0
01050200705,7.0
01050200901,8.0
01050200801,62.0
01050200704,62.0
01050200409,62.0
01050200408,62.0
01050200602,62.0
01050200202,6.0
01050200114,113.0
01050200101,6.0
01050200201,113.0
01050700115,74.0
01050700116,74.0
01051400308,32.0
01051400116,32.0
01100402306,56.0
01051400315,94.0
01051400309,72.0
01100402011,75.0
01051400307,72.0
01100401010,78.0
01050101210,2.0
01050800604,35.0
01050800603,35.0
01100401811,75.0
01100402115,131.0
01100401009,78.0
01100402001,75.0
01050101314,2.0
01050900219,98.0
01100401708,56.0
01100401810,77.0
01100401008,2.0
01100100206,123.0
01050800602,35.0
01100401007,78.0
01100401905,56.0
01050400509,116.0
01100302410,81.0
01050601109,21.0
01100302319,50.0
01100302409,50.0
01051000103,23.0
01050400803,96.0
01100200304,119.0
01100200303,119.0
01100302411,50.0
01050400508,116.0
01050400507,116.0
01051100137,
01050500404,84.0
01050500306,15.0
01100300112,51.0
01050500704,20.0
01050500703,15.0
01051100135,
01050500405,59.0
01050500702,20.0
01050500603,17.0
01051100218,
01051100134,
01050500701,15.0
01050200506,12.0
01050200406,62.0
01050200702,62.0
01050700113,94.0
01050700112,94.0
01050700111,94.0
01050700110,94.0
01050300108,115.0
01050800106,97.0
01050300107,115.0
01050800301,97.0
01050100901,4.0
01100201002,119.0
01100200216,123.0
01100201001,120.0
01050100806,4.0
01100200711,120.0
01100400601,131.0
01050100812,4.0
01100200710,120.0
01100200905,123.0
