BGRI11;BGRI11_M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_AfterLABEL1
01050501306;82;18622_18623_18630_18632_
01050501307;82;18622_18623_18630_18632_
01050501308;82;18622_18623_18630_18632_
01050501309;82;18622_18623_18630_18632_
01050501401;18;10352_
01050501403;18;10352_
01050501404;14;10346_
01050501405;18;10352_
01050501406;14;10346_
01050501407;82;18622_18623_18630_18632_
01050501408;82;18622_18623_18630_18632_
01050501501;18;10352_
01050501502;86;18627_18653_
01050501503;107;18661_
01050501504;107;18661_
01050501601;60;18485_
01050501602;60;18485_
01050501603;83;18624_
01050501604;83;18624_
01050501605;87;18628_
01050501606;63;18490_
01050501701;82;18622_18623_18630_18632_
01050501702;82;18622_18623_18630_18632_
01050501703;45;10389_
01050501704;45;10389_
01050501801;82;18622_18623_18630_18632_
01050501802;63;18490_
01050501803;63;18490_
01050501804;82;18622_18623_18630_18632_
01050501805;63;18490_
01050501806;63;18490_
01050501807;85;18626_
01050501808;63;18490_
01050501809;85;18626_
01050501901;60;18485_
01050501902;16;10348_10378_
01050501903;60;18485_
01050501904;16;10348_10378_
01050501905;60;18485_
01050501906;60;18485_
01050501909;60;18485_
01050501910;60;18485_
01050501911;60;18485_
01050501912;60;18485_
01050501913;60;18485_
01050501914;60;18485_
01050501915;60;18485_
01050501916;16;10348_10378_
01050501917;63;18490_
01050501918;63;18490_
01050501919;60;18485_
01050600101;22;10356_
01050600102;22;10356_
01050600103;22;10356_
01050600104;22;10356_
01050600105;22;10356_
01050600106;22;10356_
01050600107;28;10363_10365_18665_18666_18669_
01050600108;28;10363_10365_18665_18666_18669_
01050600109;22;10356_
01050600110;22;10356_
01050600112;44;10388_18654_18662_
01050600113;86;18627_18653_
01050600201;31;10367_
01050600202;31;10367_
01050600203;31;10367_
01050600204;31;10367_
01050600205;31;10367_
01050600206;31;10367_
01050600207;110;18668_
01050600208;22;10356_
01050600301;109;18667_
01050600302;109;18667_
01050600303;26;10361_18656_
01050600305;26;10361_18656_
01050600306;26;10361_18656_
01050600307;26;10361_18656_
01050600308;111;18670_
01050600401;31;10367_
01050600402;109;18667_
01050600403;31;10367_
01050600404;109;18667_
01050600405;109;18667_
01050600406;109;18667_
01050600407;111;18670_
01050600408;31;10367_
01050600409;109;18667_
01050600410;111;18670_
01050600411;31;10367_
01050600412;111;18670_
01050600501;26;10361_18656_
01050600502;26;10361_18656_
01050600503;26;10361_18656_
01050600504;26;10361_18656_
01050600505;26;10361_18656_
01050600507;26;10361_18656_
01050600508;26;10361_18656_
01050600509;26;10361_18656_
01050600510;111;18670_
01050600511;104;18657_
01050600512;111;18670_
01050600601;111;18670_
01050600602;26;10361_18656_
01050600603;103;18655_
01050600604;111;18670_
01050600605;111;18670_
01050600606;111;18670_
01050600701;26;10361_18656_
01050600702;104;18657_
01050600703;43;10386_
01050600704;104;18657_
01050600705;104;18657_
01050600707;24;10358_
01050600801;111;18670_
01050600802;111;18670_
01050600803;111;18670_
01050600804;24;10358_
01050600806;24;10358_
01050600807;111;18670_
01050600808;29;10364_
01050600901;28;10363_10365_18665_18666_18669_
01050600902;108;18664_
01050600903;28;10363_10365_18665_18666_18669_
01050600904;28;10363_10365_18665_18666_18669_
01050600905;108;18664_
01050600906;30;10366_
01050600907;30;10366_
01050600908;30;10366_
01050601001;64;18491_20836_
01050601002;64;18491_20836_
01050601003;64;18491_20836_
01050601004;21;10355_10381_
01050601005;21;10355_10381_
01050601006;21;10355_10381_
01050601007;21;10355_10381_
01050601101;64;18491_20836_
01050601102;64;18491_20836_
01050601104;64;18491_20836_
01050601105;64;18491_20836_
01050601106;64;18491_20836_
01050601107;64;18491_20836_
01050601109;21;10355_10381_
01050601201;29;10364_
01050601202;24;10358_
01050601203;24;10358_
01050601204;24;10358_
01050601206;24;10358_
01050601207;29;10364_
01050601301;104;18657_
01050601302;30;10366_
01050601303;24;10358_
01050601304;24;10358_
01050601305;24;10358_
01050601306;30;10366_
01050601401;24;10358_
01050601402;24;10358_
01050601403;24;10358_
01050601404;30;10366_
01050601501;25;10359_
01050601502;25;10359_
01050601503;25;10359_
01050601504;30;10366_
01050601601;24;10358_
01050601602;30;10366_
01050601603;30;10366_
01050601604;58;18482_
01050601605;30;10366_
01050601606;30;10366_
01050601701;30;10366_
01050601702;30;10366_
01050601802;25;10359_
01050601803;30;10366_
01050601804;30;10366_
01050601805;30;10366_
01050601806;30;10366_
01050601901;30;10366_
01050601902;30;10366_
01050601903;30;10366_
01050601904;30;10366_
01050700101;33;10370_
01050700102;73;18500_18637_
01050700103;73;18500_18637_
01050700104;73;18500_18637_
01050700105;73;18500_18637_
01050700106;73;18500_18637_
01050700107;74;18501_18639_20828_20829_
01050700108;94;18638_
01050700109;94;18638_
01050700110;94;18638_
01050700111;94;18638_
01050700113;94;18638_
01050700115;74;18501_18639_20828_20829_
01050700116;74;18501_18639_20828_20829_
01050700117;74;18501_18639_20828_20829_
01050700118;74;18501_18639_20828_20829_
01050700119;73;18500_18637_
01050700120;94;18638_
01050700201;74;18501_18639_20828_20829_
01050700202;94;18638_
01050700203;94;18638_
01050700204;74;18501_18639_20828_20829_
01050700205;74;18501_18639_20828_20829_
01050700206;94;18638_
01050700207;94;18638_
01050700208;74;18501_18639_20828_20829_
01050700210;74;18501_18639_20828_20829_
01050700212;74;18501_18639_20828_20829_
01050700213;74;18501_18639_20828_20829_
01050700214;74;18501_18639_20828_20829_
01050800101;97;18644_
01050800102;96;18642_
01050800103;96;18642_
01050800104;97;18644_
01050800105;97;18644_
01050800107;97;18644_
01050800110;96;18642_
01050800112;97;18644_
01050800114;36;10374_10375_18640_18643_18645_
01050800115;97;18644_
01050800116;96;18642_
01050800201;96;18642_
01050800203;96;18642_
01050800204;36;10374_10375_18640_18643_18645_
01050800205;36;10374_10375_18640_18643_18645_
01050800206;71;18498_
01050800207;71;18498_
01050800208;36;10374_10375_18640_18643_18645_
01050800209;71;18498_
01050800210;71;18498_
01050800211;96;18642_
01050800212;71;18498_
01050800213;71;18498_
01050800214;71;18498_
01050800215;71;18498_
01050800216;71;18498_
01050800301;97;18644_
01050800302;36;10374_10375_18640_18643_18645_
01050800303;36;10374_10375_18640_18643_18645_
01050800304;36;10374_10375_18640_18643_18645_
01050800305;36;10374_10375_18640_18643_18645_
01050800306;36;10374_10375_18640_18643_18645_
01050800307;36;10374_10375_18640_18643_18645_
01050800308;36;10374_10375_18640_18643_18645_
01050800309;36;10374_10375_18640_18643_18645_
