Zone_ID;Zone_ID_Name;geocod_query;location;point;Lat;Lon;geometry;Lat_ETRS89;Lon_ETRS89;CLOSE_NODE;0;1;2;3;4;jointly_zones;ZONE_CS_newID_132Z;ZONE_CS_newID_132Z_CAT;ZONE_CS_newID_132Z_CATint;M1LABELS_LP_AdjMatGeoNetDist;ZONE_CS_133Z_correcao;ZONE_CS_133Z_correcao_2
18633;Centro;Centro, Santa Joana, Aveiro, Portugal;Santa Joana, 3810, Portugal;(40.6324062, -8.6105703);40.6324062;-8.6105703;POINT (-40393.77375834284 107166.19844216047);107166.19844216047;-40393.77375834284;1524585591;18633.0;;;;;[18633];18633;90;90;;;18633_
18634;Viso;Viso, Santa Joana, Aveiro, Portugal;R. do Viso, Portugal;(40.6387952, -8.6214782);40.6387952;-8.6214782;POINT (-41312.658296495014 107880.74604441709);107880.74604441709;-41312.658296495014;5403333728;18634.0;;;;;[18634];18634;91;91;;;18634_
18635;Areais;Areais, Santa Joana, Aveiro, Portugal;3810-164, Portugal;(40.6393889, -8.6271121);40.6393889;-8.6271121;POINT (-41788.87821733452 107949.33603880733);107949.33603880733;-41788.87821733452;1621776703;18635.0;;;;;[18635];18635;92;92;92.0;63.0;18635_1849
18636;Largo da Capela;Largo da Capela, Nariz, Aveiro, Portugal;Largo da Capela, 3810 Nariz, Portugal;(40.5589296, -8.5960547);40.5589296;-8.5960547;POINT (-39208.635552325686 99000.30412650824);99000.30412650824;-39208.635552325686;2466981898;18636.0;;;;;[18636];18636;93;93;93.0;73.0;18636_18637
18637;Verba ;Verba , Nariz, Aveiro, Portugal;Verba, 3810 Nariz, Portugal;(40.5588711, -8.5962538);40.5588711;-8.5962538;POINT (-39225.53226848892 98993.89655169625);98993.89655169625;-39225.53226848892;2466981897;18500.0;18637.0;;;;[18500, 18637];18500_18637;73;73;;;18500_18637_
18638;Vessada ;Vessada , Nariz, Aveiro, Portugal;Vessada, 3810 Nariz, Portugal;(40.5563531, -8.5860145);40.5563531;-8.5860145;POINT (-38359.76173271931 98709.77513371244);98709.77513371244;-38359.76173271931;4039365607;18638.0;;;;;[18638];18638;94;94;;;18638_
18639;Quinta da Azenha;Quinta da Azenha, Nariz, Aveiro, Portugal;3810 Nariz, Portugal;(40.5432516, -8.588585799999999);40.5432516;-8.588585799999999;POINT (-38585.062707025536 97256.03153053786);97256.03153053786;-38585.062707025536;2463681845;18501.0;18639.0;20828.0;20829.0;;[18501, 18639, 20828, 20829];18501_18639_20828_20829;74;74;;;18501_18639_20828_20829_
18640;Granja;Granja, Oliveirinha, Aveiro, Portugal;Oliveirinha, 3810 Oliveirinha, Portugal;(40.6060925, -8.594478300000002);40.6060925;-8.594478300000002;POINT (-39047.68822269811 104236.87449937213);104236.87449937213;-39047.68822269811;1712958585;10374.0;10375.0;18640.0;18643.0;18645.0;[10374, 10375, 18640, 18643, 18645];10374_10375_18640_18643_18645;36;36;;;10374_10375_18640_18643_18645_
18641;São Bento;São Bento, Oliveirinha, Aveiro, Portugal;São Bento, 3810-814 Oliveirinha, Portugal;(40.5852489, -8.5965762);40.5852489;-8.5965762;POINT (-39237.42658973101 101923.19491950348);101923.19491950348;-39237.42658973101;3930734571;18641.0;;;;;[18641];18641;95;95;;;18641_
18642;Moita;Moita, Oliveirinha, Aveiro, Portugal;Moita, 3810-860 Oliveirinha, Portugal;(40.61662450000001, -8.5981624);40.61662450000001;-8.5981624;POINT (-39353.3109249973 105408.0618875642);105408.0618875642;-39353.3109249973;1621830814;18642.0;;;;;[18642];18642;96;96;;;18642_
18643;Oliveirinha;Oliveirinha, Oliveirinha, Aveiro, Portugal;Oliveirinha, 3810 Oliveirinha, Portugal;(40.6060925, -8.594478300000002);40.6060925;-8.594478300000002;POINT (-39047.68822269811 104236.87449937213);104236.87449937213;-39047.68822269811;1712958585;10374.0;10375.0;18640.0;18643.0;18645.0;[10374, 10375, 18640, 18643, 18645];10374_10375_18640_18643_18645;36;36;;;10374_10375_18640_18643_18645_
18644;Vale Diogo;Vale Diogo, Oliveirinha, Aveiro, Portugal;Vale Diogo, 3810-866 Oliveirinha, Portugal;(40.6120855, -8.607247899999999);40.6120855;-8.607247899999999;POINT (-40124.852438000176 104908.1215388935);104908.1215388935;-40124.852438000176;1621830735;18644.0;;;;;[18644];18644;97;97;;;18644_
18645;Zona Industrial;Zona Industrial, Oliveirinha, Aveiro, Portugal;Oliveirinha, 3810 Oliveirinha, Portugal;(40.6060925, -8.594478300000002);40.6060925;-8.594478300000002;POINT (-39047.68822269811 104236.87449937213);104236.87449937213;-39047.68822269811;1712958585;10374.0;10375.0;18640.0;18643.0;18645.0;[10374, 10375, 18640, 18643, 18645];10374_10375_18640_18643_18645;36;36;;;10374_10375_18640_18643_18645_
18646;Carregal;Carregal, Requeixo, Aveiro, Portugal;Carregal, 3800 Aveiro, Portugal;(40.5794705, -8.548949499999999);40.5794705;-8.548949499999999;POINT (-35208.34384960786 101261.39561842289);101261.39561842289;-35208.34384960786;1330250068;18646.0;;;;;[18646];18646;98;98;;;18646_
18647;Taipa ;Taipa , Requeixo, Aveiro, Portugal;Taipa, 3800 Aveiro, Portugal;(40.59749720000001, -8.5346227);40.59749720000001;-8.5346227;POINT (-33986.19536427059 103257.56714137801);103257.56714137801;-33986.19536427059;2273205509;18647.0;;;;;[18647];18647;99;99;;;18647_
18648;São Bernardo;São Bernardo, São Bernardo, Aveiro, Portugal;São Bernardo, 3810, Portugal;(40.6188083, -8.624348);40.6188083;-8.624348;POINT (-41567.81551245513 105662.60505113898);105662.60505113898;-41567.81551245513;2454376715;10382.0;18648.0;18650.0;;;[10382, 18648, 18650];10382_18648_18650;39;39;;;10382_18648_18650_
18649;Cilhas;Cilhas, São Bernardo, Aveiro, Portugal;R. das Cilhas, 3810-164, Portugal;(40.6244371, -8.6285452);40.6244371;-8.6285452;POINT (-41919.45735706463 106289.65869494797);106289.65869494797;-41919.45735706463;1439755581;18649.0;;;;;[18649];18649;100;100;;;18649_
18650;Escolas;Escolas, São Bernardo, Aveiro, Portugal;São Bernardo, 3810, Portugal;(40.6188083, -8.624348);40.6188083;-8.624348;POINT (-41567.81551245513 105662.60505113898);105662.60505113898;-41567.81551245513;2454376715;10382.0;18648.0;18650.0;;;[10382, 18648, 18650];10382_18648_18650;39;39;;;10382_18648_18650_
18651;Carril;Carril, Vera Cruz, Aveiro, Portugal;R. do Carril, 3800 Aveiro, Portugal;(40.6459775, -8.6502508);40.6459775;-8.6502508;POINT (-43741.93894986511 108692.23415287586);108692.23415287586;-43741.93894986511;5104033110;18651.0;;;;;[18651];18651;101;101;;;18651_
18652;Canal de S. Roque;Canal de S. Roque, Vera Cruz, Aveiro, Portugal;Tv. de São Roque, 3800-350 Aveiro, Portugal;(40.6437059, -8.6555223);40.6437059;-8.6555223;POINT (-44189.323201564584 108442.61298735355);108442.61298735355;-44189.323201564584;1487207594;18652.0;;;;;[18652];18652;102;102;;;18652_
18653;Agras;Agras, Vera Cruz, Aveiro, Portugal;Av. das Agras do Norte, 3800 Aveiro, Portugal;(40.650852, -8.6368918);40.650852;-8.6368918;POINT (-42608.87728849699 109226.97881694199);109226.97881694199;-42608.87728849699;1959534285;18627.0;18653.0;;;;[18627, 18653];18627_18653;86;86;;;18627_18653_
18654;Viaduto;Viaduto, Vera Cruz, Aveiro, Portugal;Vera Cruz, Portugal;(40.6478555, -8.6625223);40.6478555;-8.6625223;POINT (-44778.65978892002 108906.95708473572);108906.95708473572;-44778.65978892002;1931196527;10388.0;18654.0;18662.0;;;[10388, 18654, 18662];10388_18654_18662;44;44;;;10388_18654_18662_
18655;Rocha e Cunha;Rocha e Cunha, Vera Cruz, Aveiro, Portugal;R. Cmte. Rocha e Cunha, 3800 Aveiro, Portugal;(40.6429622, -8.6443159);40.6429622;-8.6443159;POINT (-43241.88579377465 108354.45742069438);108354.45742069438;-43241.88579377465;404737855;18655.0;;;;;[18655];18655;103;103;;;18655_
18656;Mario Sacramento;Mario Sacramento, Vera Cruz, Aveiro, Portugal;Av. 25 de Abril, 3810-199 Aveiro, Portugal;(40.6358286, -8.6454261);40.6358286;-8.6454261;POINT (-43340.40891290224 107562.83442566243);107562.83442566243;-43340.40891290224;5237682363;10361.0;18656.0;;;;[10361, 18656];10361_18656;26;26;;;10361_18656_
18657;Oita;Oita, Vera Cruz, Aveiro, Portugal;Av. de Oita, 3810-164 Aveiro, Portugal;(40.6357344, -8.6472031);40.6357344;-8.6472031;POINT (-43490.79905389429 107553.25068711827);107553.25068711827;-43490.79905389429;1406433572;18657.0;;;;;[18657];18657;104;104;;;18657_
18658;Feira de Março;Feira de Março, Vera Cruz, Aveiro, Portugal;R. Feira de Março, 3800 Aveiro, Portugal;(40.6412938, -8.6471168);40.6412938;-8.6471168;POINT (-43479.89114017609 108170.56613863303);108170.56613863303;-43479.89114017609;2805887909;18658.0;;;;;[18658];18658;105;105;105.0;42.0;18658_1385
