BGRI11,Cluster_LP,area
1051000205,65,0.0270539
1050100109,3,0.0242865
1051000204,65,0.0270539
1051000112,100,0.0386684
1051000302,21,0.0491968
1051000301,21,0.0491968
1050100108,58,0.0516226
1051000203,38,0.0136317
1051000111,38,0.0136317
1050100107,3,0.0242865
1050100402,21,0.0491968
1051000202,38,0.0136317
1050100106,124,0.0203965
1050100401,21,0.0491968
1051000110,100,0.0386684
1050100105,58,0.0516226
1051200304,166,0.0105209
1050501502,155,0.0105209
1051200405,166,0.0105209
1051200603,166,0.0105209
1050501702,82,0.00271722
1051200404,101,0.027252
1051200502,101,0.027252
1051200602,19,0.0109728
1050501110,163,0.0555703
1051200601,166,0.0105209
1051200303,166,0.0105209
1050501801,82,0.00271722
1051200302,166,0.0105209
1050501605,63,0.0555703
1051200208,19,0.0109728
1050501109,155,0.0105209
1051200207,166,0.0105209
1051200403,101,0.027252
1051200501,101,0.027252
1050601109,21,0.0491968
1051000103,23,0.00249849
1050500405,59,0.10524
1050601110,21,0.0491968
1050100104,3,0.0242865
1050600908,30,0.00303546
1051000201,65,0.0270539
1051000109,100,0.0386684
1050100103,124,0.0203965
1051000108,38,0.0136317
1051301104,65,0.0270539
1050100203,30,0.00303546
1050100202,30,0.00303546
1051000107,65,0.0270539
1050100201,108,0.135363
1051000106,125,0.180121
1050601007,21,0.0491968
1050600907,30,0.00303546
1050600906,30,0.00303546
1050601904,30,0.00303546
1050601903,30,0.00303546
1050100102,124,0.0203965
1050100412,5,0.141979
1050100615,5,0.141979
1050100614,,
1050601806,30,0.00303546
1050100101,30,0.00303546
1051301103,65,0.0270539
1050601702,30,0.00303546
1051300806,129,0.0448458
1050601902,30,0.00303546
1051000102,23,0.00249849
1050601805,30,0.00303546
1051000105,125,0.180121
1051000104,65,0.0270539
1051000308,21,0.0491968
1050100603,5,0.141979
1050100602,5,0.141979
1051000404,39,0.0919705
1050100513,5,0.141979
1051000402,65,0.0270539
1050100410,5,0.141979
1051000207,21,0.0491968
1050100409,5,0.141979
1050100408,5,0.141979
1050100407,21,0.0491968
1050100411,5,0.141979
1050100613,5,0.141979
1050100612,5,0.141979
1050100611,5,0.141979
1050100610,5,0.141979
1050100609,5,0.141979
1050100608,5,0.141979
1050100607,5,0.141979
1050100415,5,0.141979
1050100601,5,0.141979
1051000403,39,0.0919705
1050100414,5,0.141979
1050100413,5,0.141979
1051000113,100,0.0386684
1051000307,21,0.0491968
1051000401,65,0.0270539
1050100406,5,0.141979
1051000206,13,0.15657
1051000309,21,0.0491968
1051000501,21,0.0491968
